t=5000s
$\Delta t$ (s)   mode $c$   max $c$   $\ell_2$   $\ell_\infty$   $\min (\phi)$   $\max (\phi)$ \\\hline\hline
25   0.2   0.741172   0.0759938   0.0741328   -0.038887   0.959968 \\
50   0.4   1.48234   0.0788134   0.0792694   -0.0391612   0.959325 \\
100   0.8   2.96469   0.0888655   0.0960972   -0.0399003   0.957199 \\
200   1.6   5.92938   0.122712   0.155942   -0.0411259   0.954698 \\
500   4   14.8234   0.268666   0.340556   -0.0663127   0.907293 \\
1000   8   29.6469   0.506693   0.556408   -0.0910154   0.755395

t=10000
$\Delta t$ (s)   mode $c$   max $c$   $\ell_2$   $\ell_\infty$   $\min (\phi)$   $\max (\phi)$ \\\hline\hline
25    0.2   0.741172   0.104619   0.0788433   -0.0440137   0.92814 \\
50    0.4   1.48234   0.107209   0.0843463   -0.0457346   0.927734 \\
100   0.5   2.96469   0.119036   0.105169   -0.0512455   0.925788 \\
200   1.6   5.92938   0.172778   0.184601   -0.0669436   0.91481 \\
500   4     14.8234   0.443949   0.415444   -0.141398   0.784144 \\
1000& 8     29.6469   0.732789   0.631443   -0.18486   0.555268
